"timestamp","position_lat","position_long","distance","altitude","speed","cadence","fractional_cadence","heart_rate"
2021-02-23 00:03:41,44.9853438232094,-93.2340018544346,2.92,323,0,0,0,65
2021-02-23 00:03:42,44.9853315018117,-93.2340000942349,3.59,321.8,0,0,0,67
2021-02-23 00:03:43,44.985210718587,-93.2340571749955,16.41,315.4,1.008,0,0,71
2021-02-23 00:03:44,44.985210718587,-93.2340571749955,16.41,315.4,1.008,0,0,71
2021-02-23 00:03:45,44.9851753469557,-93.2340782135725,20.46,313.2,4.096,0,0,72
2021-02-23 00:03:46,44.9851405620575,-93.2340951450169,24.42,311.4,4.581,94,0,74
2021-02-23 00:03:47,44.9851004965603,-93.2341153454036,29.07,309.6,4.535,94,0,75
2021-02-23 00:03:48,44.9850559886545,-93.2341306842864,34.01,308.2,4.535,93,0,77
2021-02-23 00:03:49,44.9850114807487,-93.2341463584453,38.99,306.2,4.507,91,0,78
2021-02-23 00:03:50,44.9849704094231,-93.2341558299959,43.61,304.6,3.742,91,0,80
2021-02-23 00:03:51,44.984933026135,-93.234140239656,47.94,301.6,3.742,90,0,83
2021-02-23 00:03:52,44.9849106464535,-93.2340958993882,52.16,298,3.546,90,0,84
2021-02-23 00:03:53,44.9848925415426,-93.2340415846556,56.85,294.6,3.452,89,0.5,86
2021-02-23 00:03:54,44.9848798010498,-93.2339849229902,61.41,292.4,3.452,89,0.5,88
2021-02-23 00:03:55,44.9848650489002,-93.2339325360954,65.81,290.8,3.695,89,0.5,90
2021-02-23 00:03:56,44.9848546553403,-93.2338770478964,70.17,288.8,3.835,89,0.5,92
2021-02-23 00:03:57,44.9848420824856,-93.2338273432106,74.26,286.6,3.872,89,0.5,93
2021-02-23 00:03:58,44.9848245643079,-93.2337821647525,78.31,284.8,3.947,89,0.5,95
2021-02-23 00:03:59,44.9848067946732,-93.2337362319231,82.42,282.8,3.947,89,0.5,97
2021-02-23 00:04:00,44.9847921263427,-93.2336918916553,86.28,281.4,3.928,89,0,98
2021-02-23 00:04:01,44.984777290374,-93.2336450368166,90.31,279.8,3.91,88,0,99
2021-02-23 00:04:02,44.984761448577,-93.2336027920246,94.08,278.4,3.91,88,0,100
2021-02-23 00:04:03,44.9847456067801,-93.2335649896413,97.54,277.2,3.891,87,0,101
2021-02-23 00:04:04,44.9847311060876,-93.2335291150957,100.79,276,3.882,87,0,102
2021-02-23 00:04:05,44.9847145099193,-93.2334895525128,104.42,275,3.872,87,0,104
2021-02-23 00:04:06,44.9846980813891,-93.2334494870156,108.06,274,3.863,87,0,104
