"timestamp","position_lat","position_long","distance","altitude","speed","heart_rate","cadence","fractional_cadence"
2021-03-21 22:39:47,44.9842929840088,-93.2324854843318,188.54,282.2,3.462,126,85,0.5
2021-03-21 22:39:48,44.9842738732696,-93.232451453805,191.97,282.2,3.462,126,85,0.5
2021-03-21 22:39:49,44.984256606549,-93.2324165012687,195.32,282.2,3.462,126,86,0.5
2021-03-21 22:39:50,44.9842369928956,-93.2323786988854,199.02,282.4,3.462,126,86,0.5
2021-03-21 22:39:51,44.9842186365277,-93.232343075797,202.49,283,3.462,126,86,0.5
2021-03-21 22:39:52,44.9842027947307,-93.2323069497943,205.84,283.2,3.462,125,86,0.5
2021-03-21 22:39:53,44.9841831810772,-93.2322776131332,209.02,283.2,3.462,126,84,0.5
2021-03-21 22:39:54,44.9841626454145,-93.2322502043098,212.16,282.8,3.462,126,84,0.5
2021-03-21 22:39:55,44.9841417744756,-93.2322268188,215.12,282.8,3.443,127,84,0.5
2021-03-21 22:39:56,44.984119059518,-93.2322046067566,218.19,282.8,3.434,127,85,0.5
2021-03-21 22:39:57,44.9840950034559,-93.2321823108941,221.39,283,3.415,126,85,0.5
2021-03-21 22:39:58,44.9840701092035,-93.2321591768414,224.7,283,3.415,126,85,0.5
2021-03-21 22:39:59,44.9840462207794,-93.2321363780648,227.9,283.2,3.406,125,86,0.5
2021-03-21 22:40:00,44.9840262718499,-93.2321149203926,230.69,283.6,3.406,125,86,0.5
2021-03-21 22:40:01,44.984005400911,-93.2320925407112,233.59,283.6,3.396,124,86,0.5
2021-03-21 22:40:02,44.9839856196195,-93.232068233192,236.5,283.4,3.387,125,86,0.5
2021-03-21 22:40:03,44.9839673470706,-93.2320385612547,239.6,282.8,3.378,124,86,0.5
2021-03-21 22:40:04,44.9839484039694,-93.2320054527372,242.94,282.4,3.359,124,86,0.5
2021-03-21 22:40:05,44.9839313048869,-93.2319778762758,245.83,282,3.35,124,87,0.5
2021-03-21 22:40:06,44.9839131999761,-93.2319518085569,248.7,281.8,3.35,125,87,0.5
2021-03-21 22:40:07,44.9838962685317,-93.2319257408381,251.48,281.4,3.34,124,86,0.5
2021-03-21 22:40:08,44.9838790018111,-93.2318963203579,254.49,281.2,3.331,124,86,0.5
2021-03-21 22:40:09,44.9838603939861,-93.2318654749542,257.69,281,3.312,125,85,0.5
2021-03-21 22:40:10,44.9838398583233,-93.2318332884461,261.1,280.6,3.312,125,85,0.5
2021-03-21 22:40:11,44.9838217534125,-93.2317969109863,264.58,280.4,3.303,125,85,0.5
2021-03-21 22:40:12,44.9838033132255,-93.2317638024688,267.9,280.6,3.303,125,85,0.5
2021-03-21 22:40:13,44.9837871361524,-93.2317281793803,271.23,280.2,3.303,125,86,0.5
2021-03-21 22:40:14,44.9837718810886,-93.231693143025,274.47,279.6,3.303,125,86,0.5
2021-03-21 22:40:15,44.9837577994913,-93.2316532451659,277.98,278,3.303,126,85,0.5
2021-03-21 22:40:16,44.9837448913604,-93.2316158618778,281.18,277.4,3.294,125,84,0.5
2021-03-21 22:40:17,44.9837272055447,-93.2315842621028,284.28,276.2,3.294,126,84,0.5
2021-03-21 22:40:18,44.9837084300816,-93.2315654028207,286.73,275,3.294,127,84,0.5
2021-03-21 22:40:19,44.9836873076856,-93.231560792774,289.07,274.4,3.294,127,84,0.5
2021-03-21 22:40:20,44.9836636707187,-93.2315651513636,291.71,273.2,3.284,127,84,0.5
2021-03-21 22:40:21,44.9836427997798,-93.2315852679312,294.51,272,3.275,127,87,0.5
2021-03-21 22:40:22,44.9836246110499,-93.2316144369543,297.56,271.2,3.266,127,87,0.5
2021-03-21 22:40:23,44.983606338501,-93.2316419295967,300.53,270.6,3.266,128,87,0.5
2021-03-21 22:40:24,44.9835863057524,-93.2316679134965,303.55,270,3.284,128,87,0.5
2021-03-21 22:40:25,44.9835644289851,-93.2316909637302,306.58,269.6,3.294,128,86,0.5
2021-03-21 22:40:26,44.9835413787514,-93.2317136786878,309.71,269.4,3.294,129,86,0.5
2021-03-21 22:40:27,44.9835200887173,-93.2317377347499,312.74,269.2,3.303,129,86,0.5
2021-03-21 22:40:28,44.9835000559688,-93.2317625451833,315.7,268.8,3.312,130,86,0.5
2021-03-21 22:40:29,44.9834792688489,-93.231785427779,318.62,268.6,3.303,130,86,0.5
2021-03-21 22:40:30,44.9834568053484,-93.2318101543933,321.79,268,3.303,130,86,0.5
2021-03-21 22:40:31,44.9834339227527,-93.2318346295506,324.97,267.4,3.303,131,86,0.5
2021-03-21 22:40:32,44.9834124650806,-93.2318561710417,327.89,266.6,3.294,131,86,0.5
2021-03-21 22:40:33,44.9833920132369,-93.2318778801709,330.74,265.8,3.294,131,86,0.5
2021-03-21 22:40:34,44.9833692982793,-93.2318975776434,333.7,265.4,3.284,130,86,0.5
2021-03-21 22:40:35,44.9833441525698,-93.2319189514965,336.96,265.6,3.247,130,86,0.5
2021-03-21 22:40:36,44.9833200965077,-93.2319421693683,340.19,265,3.238,131,86,0.5
2021-03-21 22:40:37,44.9832969624549,-93.2319642975926,343.3,265,3.238,130,86,0.5
2021-03-21 22:40:38,44.9832726549357,-93.2319855876267,346.47,264.6,3.219,129,86,0.5
2021-03-21 22:40:39,44.9832480959594,-93.2320083025843,349.74,264.2,3.219,129,86,0.5
2021-03-21 22:40:40,44.983223285526,-93.232033867389,353.14,264,3.219,129,86,0.5
2021-03-21 22:40:41,44.9831997323781,-93.232057755813,356.37,263.2,3.219,129,86,0.5
2021-03-21 22:40:42,44.9831773526967,-93.2320804707706,359.43,262.8,3.219,129,86,0.5
2021-03-21 22:40:43,44.9831565655768,-93.2321014255285,362.27,262.2,3.219,129,85,0.5
2021-03-21 22:40:44,44.9831350240856,-93.2321197818965,365.07,261.2,3.219,128,84,0.5
2021-03-21 22:40:45,44.9831139855087,-93.2321440894157,368.09,260.4,3.2,128,84,0.5
2021-03-21 22:40:46,44.9830895103514,-93.2321652956307,371.28,259.8,3.172,128,85,0.5
2021-03-21 22:40:47,44.9830656219274,-93.2321907766163,374.6,259.4,3.172,128,85,0.5
2021-03-21 22:40:48,44.9830397218466,-93.2322149164975,378.05,258.8,3.163,128,85,0.5
2021-03-21 22:40:49,44.9830160010606,-93.2322397269309,381.31,259,3.163,128,85,0.5
2021-03-21 22:40:50,44.982993369922,-93.2322719972581,384.89,258.8,3.163,128,85,0.5
2021-03-21 22:40:51,44.9829674698412,-93.2323000766337,388.51,259,3.163,128,85,0.5
2021-03-21 22:40:52,44.9829402286559,-93.2323236297816,392.06,259,3.172,128,85,0.5
2021-03-21 22:40:53,44.9829124007374,-93.2323465123773,395.64,259,3.182,129,85,0.5
2021-03-21 22:40:54,44.9828858301044,-93.2323681376874,399.05,259.4,3.182,129,85,0.5
2021-03-21 22:40:55,44.9828598462045,-93.2323871646076,402.3,259.6,3.191,130,85,0.5
2021-03-21 22:40:56,44.9828344490379,-93.2324087899178,405.6,259.4,3.191,130,85,0.5
2021-03-21 22:40:57,44.982808381319,-93.2324265595526,408.81,259.2,3.2,130,85,0.5
2021-03-21 22:40:58,44.9827802181244,-93.232443574816,412.22,258.8,3.2,131,86,0.5
2021-03-21 22:40:59,44.9827244784683,-93.2324829697609,419.14,259,3.2,131,86,0.5
2021-03-21 22:41:00,44.9827244784683,-93.2324829697609,419.14,259,3.2,132,86,0.5
2021-03-21 22:41:01,44.9826969020069,-93.232507109642,422.76,259,3.21,131,86,0.5
2021-03-21 22:41:02,44.9826700799167,-93.2325299084187,426.24,259,3.21,132,86,0.5
2021-03-21 22:41:03,44.9826455209404,-93.2325565628707,429.68,259.2,3.219,132,86,0.5
2021-03-21 22:41:04,44.9826196208596,-93.2325796969235,433.08,259.2,3.219,132,85,0.5
2021-03-21 22:41:05,44.9825928825885,-93.2325980532914,436.37,258.8,3.228,132,85,0.5
2021-03-21 22:41:06,44.9825663119555,-93.2326198462397,439.78,259,3.228,132,85,0.5
2021-03-21 22:41:07,44.9825407471508,-93.2326423097402,443.11,258.6,3.228,132,85,0.5
2021-03-21 22:41:08,44.9825165234506,-93.2326703891158,446.59,258.4,3.228,132,85,0.5
2021-03-21 22:41:09,44.9824931379408,-93.232697211206,449.94,258,3.228,132,85,0.5
2021-03-21 22:41:10,44.9824689142406,-93.2327214349061,453.23,257.6,3.228,133,85,0.5
2021-03-21 22:41:11,44.9824438523501,-93.2327455747873,456.59,257.2,3.228,133,86,0.5
2021-03-21 22:41:12,44.9824161082506,-93.2327650208026,460.01,256.6,3.238,133,86,0.5
2021-03-21 22:41:13,44.9823565967381,-93.2328009791672,467.18,255.6,3.238,134,86,0.5
2021-03-21 22:41:14,44.9823565967381,-93.2328009791672,467.18,255.6,3.238,134,85,0.5
2021-03-21 22:41:15,44.9823280144483,-93.2328184135258,470.63,255.4,3.247,133,85,0.5
2021-03-21 22:41:16,44.9823015276343,-93.2328330818564,473.78,254.8,3.247,133,85,0.5
2021-03-21 22:41:17,44.9822737835348,-93.2328487560153,477.08,254.6,3.247,133,85,0.5
2021-03-21 22:41:18,44.9822460394353,-93.2328666094691,480.46,254.4,3.247,132,85,0.5
2021-03-21 22:41:19,44.9822191335261,-93.2328865583986,483.83,254.4,3.256,133,85,0.5
2021-03-21 22:41:20,44.9821930658072,-93.2329068426043,487.13,254.2,3.256,133,85,0.5
2021-03-21 22:41:21,44.9821692612022,-93.2329285517335,490.29,253.8,3.256,133,86,0.5
2021-03-21 22:41:22,44.9821450375021,-93.2329474948347,493.36,253.4,3.256,133,86,0.5
2021-03-21 22:41:23,44.9821194726974,-93.2329666893929,496.58,253.2,3.256,133,86,0.5
2021-03-21 22:41:24,44.9820936564356,-93.2329897396266,499.97,252.8,3.256,133,86,0.5
2021-03-21 22:41:25,44.982068259269,-93.2330125384033,503.31,252.4,3.256,133,86,0.5
2021-03-21 22:41:26,44.9820439517498,-93.2330406177789,506.8,251.8,3.256,133,86,0.5
2021-03-21 22:41:27,44.9820174649358,-93.2330629136413,510.23,251.2,3.256,133,86,0.5
2021-03-21 22:41:28,44.981991564855,-93.2330822758377,513.47,250.6,3.256,133,86,0.5
2021-03-21 22:41:29,44.9819663353264,-93.2330982852727,516.55,250,3.256,132,85,0.5
2021-03-21 22:41:30,44.9819430336356,-93.2331136241555,519.4,249.4,3.256,133,85,0.5
2021-03-21 22:41:31,44.9819188937545,-93.2331323157996,522.46,249.4,3.247,133,85,0.5
2021-03-21 22:41:32,44.9818954244256,-93.2331555336714,525.65,249.2,3.228,133,85,0.5
2021-03-21 22:41:33,44.9818707816303,-93.233178416267,528.92,249,3.228,133,86,0.5
2021-03-21 22:41:34,44.981846222654,-93.2332002092153,532.15,248.8,3.228,133,86,0.5
2021-03-21 22:41:35,44.9818204063922,-93.2332195714116,535.4,248.4,3.228,132,86,0.5
2021-03-21 22:41:36,44.9817928299308,-93.2332372572273,538.77,248.6,3.219,133,86,0.5
2021-03-21 22:41:37,44.9817646667361,-93.2332544401288,542.18,248.2,3.219,132,85,0.5
2021-03-21 22:41:38,44.9817355815321,-93.23327598162,545.83,248.4,3.219,132,85,0.5
2021-03-21 22:41:39,44.9817069992423,-93.2332984451205,549.46,248.6,3.219,132,85,0.5
2021-03-21 22:41:40,44.9816780816764,-93.2333195675164,553.08,248.4,3.228,133,85,0.5
2021-03-21 22:41:41,44.9816483259201,-93.2333386782557,556.71,248.4,3.238,132,85,0.5
2021-03-21 22:41:42,44.9816205818206,-93.2333587948233,560.17,248.6,3.238,132,85,0.5
2021-03-21 22:41:43,44.9815930053592,-93.2333806715906,563.68,248.8,3.238,132,85,0.5
2021-03-21 22:41:44,44.9815650098026,-93.2334037218243,567.28,249,3.247,133,85,0.5
2021-03-21 22:41:45,44.9815372657031,-93.2334296219051,570.99,248.8,3.247,133,85,0.5
2021-03-21 22:41:46,44.9815090186894,-93.2334512472153,574.56,249.2,3.247,132,85,0.5
2021-03-21 22:41:47,44.9814848788083,-93.2334765605628,577.9,249.2,3.256,132,85,0.5
2021-03-21 22:41:48,44.9814609065652,-93.2335031311959,581.29,249,3.256,132,84,0.5
2021-03-21 22:41:49,44.9814358446747,-93.2335282769054,584.71,248.8,3.256,132,84,0.5
2021-03-21 22:41:50,44.9814086034894,-93.2335514947772,588.24,248.6,3.256,132,84,0.5
2021-03-21 22:41:51,44.9813805241138,-93.2335756346583,591.89,248.4,3.256,132,84,0.5
2021-03-21 22:41:52,44.9813498463482,-93.233596002683,595.64,248.2,3.266,132,85,0.5
2021-03-21 22:41:53,44.9813198391348,-93.23361704126,599.36,248,3.266,133,85,0.5
2021-03-21 22:41:54,44.9812891613692,-93.2336360681802,603.07,247.8,3.275,133,84,0.5
2021-03-21 22:41:55,44.9812616687268,-93.2336553465575,606.49,247.6,3.275,133,84,0.5
2021-03-21 22:41:56,44.9812371097505,-93.2336756307632,609.63,247.6,3.284,133,86,0.5
2021-03-21 22:41:57,44.9812113773078,-93.233698848635,613.02,247.6,3.284,134,86,0.5
2021-03-21 22:41:58,44.9811825435609,-93.2337208092213,616.66,247.2,3.284,133,86,0.5
2021-03-21 22:41:59,44.9811555538327,-93.2337420154363,620.09,247,3.284,133,86,0.5
2021-03-21 22:42:00,44.9811297375709,-93.2337628863752,623.38,246.8,3.284,133,85,0.5
2021-03-21 22:42:01,44.981106268242,-93.2337908819318,626.79,247,3.284,133,85,0.5
2021-03-21 22:42:02,44.9810775183141,-93.2338180392981,630.61,247,3.284,132,85,0.5
2021-03-21 22:42:03,44.9810463376343,-93.2338414248079,634.51,246.6,3.284,132,85,0.5
2021-03-21 22:42:04,44.981019096449,-93.2338664028794,638.12,246,3.294,132,85,0.5
2021-03-21 22:42:05,44.9809879157692,-93.2338871899992,641.93,246.6,3.303,131,85,0.5
2021-03-21 22:42:06,44.9809560645372,-93.2339062169194,645.78,247.6,3.303,132,85,0.5
2021-03-21 22:42:07,44.980926644057,-93.2339286804199,649.49,248.6,3.312,131,85,0.5
