"ID","timestamp","altitude","cadence","distance","fractional_cadence","heart_rate","position_lat","position_long","speed"
"2021_04_04 18_42_42",2021-04-05 00:23:07,308.8,64,1.08,0.5,68,44.9853245448321,-93.2339345477521,0.149
"2021_04_04 18_42_42",2021-04-05 00:23:08,308.2,64,3.92,0.5,72,44.985295124352,-93.2339378166944,2.071
"2021_04_04 18_42_42",2021-04-05 00:23:09,307.6,64,6.99,0.5,73,44.9852672964334,-93.2339456118643,2.071
"2021_04_04 18_42_42",2021-04-05 00:23:10,307.2,64,9.48,0.5,73,44.9852461740375,-93.2339565921575,2.249
"2021_04_04 18_42_42",2021-04-05 00:23:11,306.8,86,12.79,0,74,44.9852173402905,-93.23396849446,2.482
"2021_04_04 18_42_42",2021-04-05 00:23:12,305.8,86,16.26,0,74,44.9851871654391,-93.233981737867,3.546
"2021_04_04 18_42_42",2021-04-05 00:23:13,305,86,19.93,0,75,44.9851567391306,-93.234000261873,3.546
"2021_04_04 18_42_42",2021-04-05 00:23:14,304.6,85,24.02,0.5,75,44.985123462975,-93.2340226415545,3.714
"2021_04_04 18_42_42",2021-04-05 00:23:15,304.2,85,27.79,0,75,44.9850915279239,-93.2340388186276,3.788
"2021_04_04 18_42_42",2021-04-05 00:23:16,303.8,85,31.29,0,75,44.9850603472441,-93.2340448535979,3.788
"2021_04_04 18_42_42",2021-04-05 00:23:17,303.2,84,34.27,0.5,75,44.9850351177156,-93.2340311072767,3.686
"2021_04_04 18_42_42",2021-04-05 00:23:18,302.6,84,37.5,0.5,75,44.9850143305957,-93.2340024411678,3.592
"2021_04_04 18_42_42",2021-04-05 00:23:19,301.8,84,41.47,0,75,44.9849952198565,-93.2339598610997,3.443
"2021_04_04 18_42_42",2021-04-05 00:23:20,301.2,84,45.26,0,75,44.9849747680128,-93.2339213881642,3.443
"2021_04_04 18_42_42",2021-04-05 00:23:21,300.4,84,49.18,0,75,44.9849563278258,-93.2338789757341,3.564
"2021_04_04 18_42_42",2021-04-05 00:23:22,299.6,84,53.17,0,75,44.9849360436201,-93.2338372338563,3.564
"2021_04_04 18_42_42",2021-04-05 00:23:23,298.8,84,57.02,0,75,44.9849164299667,-93.233796833083,3.564
"2021_04_04 18_42_42",2021-04-05 00:23:24,298.2,83,60.71,0,74,44.9849035218358,-93.2337534148246,3.564
"2021_04_04 18_42_42",2021-04-05 00:23:25,297.6,83,64.56,0,74,44.9848892726004,-93.2337089907378,3.546
"2021_04_04 18_42_42",2021-04-05 00:23:26,296.8,83,68.44,0,73,44.9848735984415,-93.2336649019271,3.527
"2021_04_04 18_42_42",2021-04-05 00:23:27,296.4,83,72.18,0,73,44.9848559964448,-93.2336244173348,3.527
"2021_04_04 18_42_42",2021-04-05 00:23:28,295.4,82,76,0,73,44.9848368018866,-93.2335841841996,3.518
"2021_04_04 18_42_42",2021-04-05 00:23:29,294.4,82,80.24,0,73,44.9848151765764,-93.2335397601128,3.527
"2021_04_04 18_42_42",2021-04-05 00:23:30,293.4,83,84.35,0,74,44.9847953952849,-93.2334957551211,3.527
"2021_04_04 18_42_42",2021-04-05 00:23:31,292.6,84,87.89,0,79,44.9847789667547,-93.2334571983665,3.546
"2021_04_04 18_42_42",2021-04-05 00:23:32,291.8,84,91.44,0,88,44.9847595207393,-93.23342140764,3.546
"2021_04_04 18_42_42",2021-04-05 00:23:33,291.2,84,95.19,0,99,44.9847408290952,-93.233381845057,3.536
"2021_04_04 18_42_42",2021-04-05 00:23:34,290.4,84,98.92,0,103,44.9847257416695,-93.233339600265,3.518
"2021_04_04 18_42_42",2021-04-05 00:23:35,289.6,83,102.63,0,107,44.9847108218819,-93.2332974392921,3.518
"2021_04_04 18_42_42",2021-04-05 00:23:36,289,83,106.26,0,109,44.9846956506371,-93.2332566194236,3.527
"2021_04_04 18_42_42",2021-04-05 00:23:37,288.4,84,109.99,0,110,44.9846751149744,-93.2332189846784,3.518
"2021_04_04 18_42_42",2021-04-05 00:23:38,288,84,113.51,0,111,44.9846567586064,-93.2331826072186,3.518
"2021_04_04 18_42_42",2021-04-05 00:23:39,287.4,84,116.91,0,111,44.9846386536956,-93.2331474870443,3.518
"2021_04_04 18_42_42",2021-04-05 00:23:40,286.8,83,120.24,0,112,44.9846223089844,-93.2331119477749,3.508
"2021_04_04 18_42_42",2021-04-05 00:23:41,286.4,83,123.52,0,113,44.9846087303013,-93.2330750674009,3.499
