"ID","data","event","event_group","event_type","timestamp"
2018-10-09 07:19:53,0,"timer",0,"start",2018-10-09 06:17:44
2018-10-09 07:19:53,857,NA,255,"marker",2018-10-09 06:48:14
2018-10-09 07:19:53,0,"timer",0,"stop_all",2018-10-09 06:48:15
2018-10-09 07:19:53,0,"timer",0,"start",2018-10-09 06:48:22
2018-10-09 07:19:53,886,NA,255,"marker",2018-10-09 06:53:01
2018-10-09 07:19:53,0,"timer",0,"stop_all",2018-10-09 06:53:02
2018-10-09 07:19:53,0,"timer",0,"start",2018-10-09 06:53:08
2018-10-09 07:19:53,0,"timer",0,"stop_all",2018-10-09 06:54:07
2018-10-09 07:19:53,886,NA,255,"marker",2018-10-09 06:54:07
2018-10-09 07:19:53,0,"timer",0,"start",2018-10-09 06:55:15
2018-10-09 07:19:53,0,"timer",0,"stop_all",2018-10-09 07:01:31
2018-10-09 07:19:53,859,NA,255,"marker",2018-10-09 07:01:31
2018-10-09 07:19:53,0,"timer",0,"start",2018-10-09 07:01:38
2018-10-09 07:19:53,774,NA,255,"marker",2018-10-09 07:19:37
2018-10-09 07:19:53,0,"timer",0,"stop_all",2018-10-09 07:19:38
