"ID","data","event","event_group","event_type","timestamp"
2018-06-06 07:53:45,0,"timer",0,"start",2018-06-06 07:19:39
2018-06-06 07:53:45,750,NA,255,"marker",2018-06-06 07:29:49
2018-06-06 07:53:45,0,"timer",0,"stop_all",2018-06-06 07:29:50
2018-06-06 07:53:45,0,"timer",0,"start",2018-06-06 07:30:01
2018-06-06 07:53:45,950,NA,255,"marker",2018-06-06 07:37:39
2018-06-06 07:53:45,0,"timer",0,"stop_all",2018-06-06 07:37:40
2018-06-06 07:53:45,0,"timer",0,"start",2018-06-06 07:37:44
2018-06-06 07:53:45,810,NA,255,"marker",2018-06-06 07:48:35
2018-06-06 07:53:45,0,"timer",0,"stop_all",2018-06-06 07:48:36
2018-06-06 07:53:45,97,"recovery_hr",255,"marker",2018-06-06 07:50:36
