"ID","data","event","event_group","event_type","timestamp"
2019-09-23 21:08:15,0,"timer",0,"start",2019-09-23 20:22:32
2019-09-23 21:08:15,410,NA,255,"marker",2019-09-23 20:38:23
2019-09-23 21:08:15,0,"timer",0,"stop_all",2019-09-23 20:38:24
2019-09-23 21:08:15,0,"timer",0,"start",2019-09-23 20:38:31
2019-09-23 21:08:15,526,NA,255,"marker",2019-09-23 20:43:13
2019-09-23 21:08:15,0,"timer",0,"stop_all",2019-09-23 20:43:14
2019-09-23 21:08:15,0,"timer",0,"start",2019-09-23 20:43:18
2019-09-23 21:08:15,526,NA,255,"marker",2019-09-23 20:43:18
2019-09-23 21:08:15,0,"timer",0,"stop_all",2019-09-23 20:43:19
2019-09-23 21:08:15,0,"timer",0,"start",2019-09-23 20:43:21
2019-09-23 21:08:15,758,NA,255,"marker",2019-09-23 20:56:15
2019-09-23 21:08:15,0,"timer",0,"stop_all",2019-09-23 20:56:16
2019-09-23 21:08:15,0,"timer",0,"start",2019-09-23 20:56:33
2019-09-23 21:08:15,0,"timer",0,"stop_all",2019-09-23 21:07:58
2019-09-23 21:08:15,932,NA,255,"marker",2019-09-23 21:07:58
