timestamp,start_time,start_position_lat,start_position_long,end_position_lat,end_position_long,total_elapsed_time,total_timer_time,total_distance,total_cycles,message_index,total_calories,avg_speed,max_speed,total_ascent,total_descent,wkt_step_index,avg_vertical_oscillation,avg_stance_time_percent,avg_stance_time,event,event_type,avg_heart_rate,max_heart_rate,avg_cadence,max_cadence,intensity,lap_trigger,sport,event_group,sub_sport,avg_temperature,max_temperature,avg_fractional_cadence,max_fractional_cadence,total_fractional_cycles,key
2019-09-23T11:26:58Z,2019-09-23T11:26:27Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,30.838,30.838,0,4,NA,2,0,65.535,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,96,104,58,58,NA,manual,generic,255,generic,127,127,0.5,0.5,1.9921875,2019-09-23 11:26:27
2019-09-23T11:27:29Z,2019-09-23T11:26:58Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,30.613,30.613,0,7,NA,1,0,65.535,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,82,88,58,58,NA,manual,generic,255,generic,127,127,0.5,0.5,1.9921875,2019-09-23 11:26:27
2019-09-23T11:28:01Z,2019-09-23T11:27:29Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,32.082,32.082,0,7,NA,1,0,65.535,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,82,83,58,58,NA,manual,generic,255,generic,127,127,0.5,0.5,1.9921875,2019-09-23 11:26:27
2019-09-23T11:28:34Z,2019-09-23T11:28:01Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,33.356,33.356,0,3,NA,1,0,65.535,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,69,79,58,58,NA,manual,generic,255,generic,127,127,0.5,0.5,1.9921875,2019-09-23 11:26:27
2019-09-23T11:28:55Z,2019-09-23T11:28:34Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,21.236,21.236,0,12,NA,0,0,65.535,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,68,74,58,58,NA,manual,generic,255,generic,127,127,0.5,0.5,1.9921875,2019-09-23 11:26:27
2019-09-23T11:29:43Z,2019-09-23T11:28:55Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,47.454,47.454,0,5,NA,2,0,65.535,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,81,84,58,58,NA,manual,generic,255,generic,127,127,0.5,0.5,1.9921875,2019-09-23 11:26:27
2019-09-23T11:30:12Z,2019-09-23T11:29:43Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,29.366,29.366,0,12,NA,1,0,65.535,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,83,84,58,58,NA,manual,generic,255,generic,127,127,0.5,0.5,1.9921875,2019-09-23 11:26:27
2019-09-23T11:30:40Z,2019-09-23T11:30:12Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,28.328,28.328,0,2,NA,1,0,65.535,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,90,97,58,58,NA,manual,generic,255,generic,127,127,0.5,0.5,1.9921875,2019-09-23 11:26:27
2019-09-23T11:31:51Z,2019-09-23T11:30:40Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,70.455,70.455,0,23,NA,4,0,65.535,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,88,97,58,60,NA,manual,generic,255,generic,127,127,0.8515625,0.5,1.9921875,2019-09-23 11:26:27
2019-09-23T11:32:22Z,2019-09-23T11:31:51Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,31.557,31.557,0,4294967295,NA,1,0,65.535,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,87,88,255,255,NA,manual,generic,255,generic,127,127,1.9921875,1.9921875,1.9921875,2019-09-23 11:26:27
