timestamp,start_time,start_position_lat,start_position_long,end_position_lat,end_position_long,total_elapsed_time,total_timer_time,total_distance,total_cycles,message_index,total_calories,avg_speed,max_speed,total_ascent,total_descent,wkt_step_index,avg_vertical_oscillation,avg_stance_time_percent,avg_stance_time,event,event_type,avg_heart_rate,max_heart_rate,avg_cadence,max_cadence,intensity,lap_trigger,sport,event_group,sub_sport,avg_temperature,max_temperature,avg_fractional_cadence,max_fractional_cadence,total_fractional_cycles,key,time_created
2022-09-06T13:37:10Z,2022-09-06T13:36:04Z,38.91329409554601,-77.07534201443195,38.913356037810445,-77.0753537490964,65.99,65.99,331.79,92,NA,11,5.028,5.841,8,2,NA,6553.5,655.35,6553.5,lap,stop,137,155,91,95,NA,manual,running,255,generic,127,127,0.609375,0,1.9921875,9553741765,2022_09_06_08_36_05
2022-09-06T13:38:13Z,2022-09-06T13:37:10Z,38.913310607895255,-77.07534989342093,38.91385518014431,-77.07448949106038,63.745,63.745,196.94,87,NA,13,3.089,5.113,2,5,NA,6553.5,655.35,6553.5,lap,stop,150,159,85,90,NA,manual,running,255,generic,127,127,0.0859375,0,1.9921875,9553741765,2022_09_06_08_36_05
2022-09-06T13:39:18Z,2022-09-06T13:38:13Z,38.91388443298638,-77.07451128400862,38.913799691945314,-77.0744483359158,63.902,63.902,331.5,94,NA,13,5.188,5.44,2,3,NA,6553.5,655.35,6553.5,lap,stop,150,164,90,93,NA,manual,running,255,generic,127,127,0.484375,0,1.9921875,9553741765,2022_09_06_08_36_05
2022-09-06T13:46:01Z,2022-09-06T13:39:18Z,38.91384487040341,-77.07446526736021,38.912987569347024,-77.07472577691078,402.842,48.717,206.06,66,NA,8,4.23,5.505,5,0,NA,6553.5,655.35,6553.5,lap,stop,142,165,83,92,NA,manual,running,255,generic,127,127,0.859375,0,1.9921875,9553741765,2022_09_06_08_36_05
2022-09-06T13:50:04Z,2022-09-06T13:46:01Z,38.91300684772432,-77.07466517575085,38.913424517959356,-77.0753638073802,243.354,243.354,1249.42,363,NA,57,5.134,5.458,41,36,NA,6553.5,655.35,6553.5,lap,stop,167,176,89,93,NA,manual,running,255,generic,127,127,0.359375,0,1.9921875,9553741765,2022_09_06_08_36_05
2022-09-06T13:52:07Z,2022-09-06T13:50:04Z,38.913382859900594,-77.07536154426634,38.91305638477206,-77.07468562759459,122.16,122.16,302.52,141,NA,27,2.476,5.337,4,7,NA,6553.5,655.35,6553.5,lap,stop,152,174,72,87,NA,manual,running,255,generic,127,127,0.7578125,0.5,1.9921875,9553741765,2022_09_06_08_36_05
2022-09-06T13:56:13Z,2022-09-06T13:52:07Z,38.91305638477206,-77.07468562759459,38.91348671168089,-77.07536112517118,246.93,246.93,1238.09,354,NA,48,5.014,5.804,28,25,NA,6553.5,655.35,6553.5,lap,stop,159,184,86,94,NA,manual,running,255,generic,127,127,0.6640625,0.5,1.9921875,9553741765,2022_09_06_08_36_05
2022-09-06T13:58:22Z,2022-09-06T13:56:13Z,38.91343683935702,-77.07536070607603,38.913010032847524,-77.07477581687272,128.112,128.112,319.24,151,NA,21,2.492,5.123,10,7,NA,6553.5,655.35,6553.5,lap,stop,153,175,73,86,NA,manual,running,255,generic,127,127,0.515625,0,1.9921875,9553741765,2022_09_06_08_36_05
2022-09-06T14:02:21Z,2022-09-06T13:58:22Z,38.91303123906255,-77.07472200505435,38.913443041965365,-77.07535282708704,239.255,239.255,1254.94,348,NA,44,5.245,5.552,23,23,NA,6553.5,655.35,6553.5,lap,stop,165,180,87,91,NA,manual,running,255,generic,127,127,0.40625,0,1.9921875,9553741765,2022_09_06_08_36_05
2022-09-06T14:04:24Z,2022-09-06T14:02:21Z,38.91339492984116,-77.0753537490964,38.91301187686622,-77.07481848075986,123.414,123.414,280.76,146,NA,26,2.275,5.468,0,9,NA,6553.5,655.35,6553.5,lap,stop,157,179,71,84,NA,manual,running,255,generic,127,127,0.5078125,0.5,1.9921875,9553741765,2022_09_06_08_36_05
2022-09-06T14:08:26Z,2022-09-06T14:04:24Z,38.913023779168725,-77.07476265728474,38.913479167968035,-77.07538115791976,240.91,240.91,1254.37,344,NA,37,5.207,5.365,21,14,NA,6553.5,655.35,6553.5,lap,stop,166,179,85,92,NA,manual,running,255,generic,127,127,0.890625,0,1.9921875,9553741765,2022_09_06_08_36_05
2022-09-06T14:11:01Z,2022-09-06T14:08:26Z,38.9134309720248,-77.07537788897753,38.91302009113133,-77.07476240582764,154.659,154.659,303.03,170,NA,30,1.959,5.216,7,11,NA,6553.5,655.35,6553.5,lap,stop,153,179,69,85,NA,manual,running,255,generic,127,127,0.2890625,0.5,1.9921875,9553741765,2022_09_06_08_36_05
2022-09-06T14:14:18Z,2022-09-06T14:11:01Z,38.913051104173064,-77.07465645857155,38.9132790081203,-77.0744332484901,196.99,196.99,1049.88,283,NA,31,5.33,5.449,20,18,NA,6553.5,655.35,6553.5,lap,stop,169,180,86,92,NA,manual,running,255,generic,127,127,0.453125,0,1.9921875,9553741765,2022_09_06_08_36_05
2022-09-06T14:16:21Z,2022-09-06T14:14:18Z,38.913323348388076,-77.07442939281464,38.91299896873534,-77.0747075881809,123.435,123.435,294.86,138,NA,26,2.389,5.188,12,10,NA,6553.5,655.35,6553.5,lap,stop,161,179,74,84,NA,manual,running,255,generic,127,127,0.203125,0.5,1.9921875,9553741765,2022_09_06_08_36_05
2022-09-06T14:19:41Z,2022-09-06T14:16:21Z,38.913018917664886,-77.07464975304902,38.9132269565016,-77.07445353269577,199.938,199.938,1050.65,283,NA,45,5.255,5.449,15,16,NA,6553.5,655.35,6553.5,lap,stop,172,180,85,89,NA,manual,running,255,generic,127,127,0.3046875,0.5,1.9921875,9553741765,2022_09_06_08_36_05
2022-09-06T14:20:40Z,2022-09-06T14:19:41Z,38.91331278719008,-77.07442763261497,38.913393672555685,-77.07441631704569,1.676,1.676,18.83,1,NA,0,11.235,5.402,0,3,NA,6553.5,655.35,6553.5,lap,stop,177,178,84,84,NA,session_end,running,255,generic,127,127,0,0,1.9921875,9553741765,2022_09_06_08_36_05
